nyesek,-4
rahasia,-2
anjay,-3
sumbat,-3
letih,-3
ucek,-3
lelah,-3
gila,-5
tamat,-4
singkap,-3
konco,-3
balesnya,-2
pantesan,-2
erotis,-4
curi,-5
perkara,-4
kutuk,-5
hilang ingat,-4
anjur,-2
bersitegang,-4
buah bibir,-2
teriak,-2
cegah,-2
rem,-2
tiri,-2
kerut merut,-3
rabies,-4
serapah,-4
diam,-3
tangkap,-3
emosi,-4
ria,-4
kutil,-4
teledor,-4
jarah,-4
jarak,-3
paksa,-4
relung,-2
heula,-2
atut,-2
pegang,-2
congkel,-4
keinget,-2
sumpah,-3
banding,-3
gempal,-2
hambat,-3
sakit,-4
asam,-2
aur,-3
traumatis,-4
pingsan,-3
latih,-2
ekang,-4
comot,-4
tembak,-5
ngamen,-3
tenggelem,-3
genang,-2
derita,-5
kasihan,-3
nyamuk,-1
keras hati,-3
buang,-3
tunas,-2
bad,-4
tanggung,-2
gatal,-3
seram,-4
jleb,-3
otot,-4
pisah,-3
idih,-3
banding,-3
badung,-4
blokir,-3
perkutut,-3
ngeri,-4
egois,-5
kubang,-3
abg,-2
tinggi,-2
hama,-3
hambat,-4
digituin,-2
nyariin,-2
ngarep,-2
ngeluh,-4
sisa,-4
makan,-2
gelap,-4
bolong,-3
awal,-2
merinding,-3
rinding,-3
tembam,-4
sentuh,-2
kontaminasi,-4
hate,-5
dalem,-2
salah,-4
lembam,-3
tempik,-4
tendang,-3
habis,-3
desah,-3
cuekin,-3
pikun,-4
kelu,-3
tinggal,-3
miris,-4
primitif,-4
typonya,-3
buru,-3
rampok,-5
ringkus,-5
besar,-2
diketawain,-4
nyeri,-4
hack,-4
terminasi,-3
sedih,-5
henti,-4
lupa diri,-3
keluar,-3
dikangenin,-2
gapuk,-3
bendung,-3
nyerah,-3
rebut,-3
edan,-3
jerit,-3
rampas,-4
nabrak,-4
tilap,-4
pekik,-5
ngiler,-3
maghrib,-2
catut,-3
sebab,-2
caplok,-3
rindu,-2
ramal,-2
ingetin,-2
gempar,-2
bopong,-3
seksi,-3
addict,-3
fail,-5
endus,-3
pendek,-2
pindah,-3
duet,-2
guram,-2
usir,-4
tekan mental,-4
hiruk,-4
mewek,-5
trauma,-5
unmood,-3
bekap,-3
ngerasain,-2
ejek,-4
bajak,-4
pusing,-4
week,-4
goda,-3
gajih,-2
tinggi,-2
mohon,-2
bolos,-3
hiruk-pikuk,-3
gugur,-3
olok,-5
engah,-3
mantan,-3
umbar,-3
krg,-2
kabut,-3
layuh,-3
lain,-4
unfollow,-2
risiko,-3
dingin,-3
ancam,-4
batuk,-4
sembarang,-4
ngadepin,-2
dalang,-3
geger,-3
acau,-4
pinggul,-3
tumben,-2
rusuh,-4
sindir,-3
redup,-3
kentut,-2
mainin,-2
musuh,-4
qada,-2
gabakal,-4
abu,-2
hoax,-5
emergensi,-4
enak,-4
muak,-5
mual,-5
buru,-4
acak,-5
close,-2
tegur,-3
susah,-5
ribut,-4
tbc,-3
shy,-3
cemas,-3
paranormal,-2
recok,-3
demo,-3
lost,-3
gangguin,-3
melankolis,-2
kabut,-2
kabur,-2
protes,-3
lupa,-3
usil,-3
jealous,-3
tular,-4
grogi,-4
keburu,-5
batuk kering,-3
pasrah,-2
tauk,-3
ganggu,-4
sengal,-4
kejut,-3
gelegak,-3
malapateka,-3
debar,-3
heboh,-3
bolos,-3
gede,-2
muram,-4
sotoy,-4
ampun,-2
derai,-3
nyalahin,-4
mafia,-5
sambat,-3
benci,-5
enek,-4
gaakan,-2
terlalu,-5
tutup,-2
kapah,-2
celaka,-5
jahil,-3
gerecok,-4
kolera,-4
ganjal,-3
guncang,-2
tanda,-2
sogok,-4
simpang,-4
bhay,-3
simbah,-3
saum,-2
cacing karawit,-3
ringkas,-2
yalord,-2
cemeti dewa,-2
nyesal,-4
narkotika,-4
syedi,-4
standar,-2
bangett,-2
beud,-2
gagah,-1
cabe,-3
tidur,-2
sunu,-2
neng,-1
kuyup,-3
alami,-3
kelir,-3
hati,-2
tata,-2
gundik,-2
luka,-5
belia,-2
album,-2
comel,-1
sibuk,-3
asuh,-2
alah,-4
hadeh,-4
enak,-4
udeh,-3
geluncur,-3
remaja,-2
akuan,-3
image,-2
bawain,-3
puasa,-2
kerut,-2
cacing jantung,-4
cacing ginjal,-4
brutal,-5
hamster,-3
diajarin,-3
luda,-3
giniin,-2
suap,-3
tetiba,-3
begini,-3
tebat,-3
tebak,-2
amatin,-2
diliatin,-3
mirip,-2
cacing gilig,-4
api,-2
senonoh,-5
garuk,-3
bisain,-2
timang,-1
insane,-4
sambel,-2
gjd,-3
malu,-3
kualat,-4
selulur,-2
sakit,-4
memang,-2
gersang,-3
tolak,-4
jilat,-2
jahatin,-3
cacing hati,-2
babu,-5
abai,-3
sedih,-4
timpa,-3
guncang,-3
kontroversi,-4
mblo,-3
bagaimana pun,-2
gakuat,-3
poor,-4
mata,-3
kenapaaa,-3
pikul,-2
lau,-2
gelicik,-3
jilat,-3
selir,-4
yaoi,-5
ngidam,-2
napsu,-3
zalim,-5
gelingsir,-3
bau kencur,-4
alergi,-3
kodok,-2
drop,-3
sedikit-dikitnya,-3
xx,-1
belikan,-1
sundut,-3
anggur,-4
pataka,-3
sepele,-4
kurang,-3
siapa,-2
mahh,-3
gamungkin,-3
matiin,-2
bantah,-3
nape,-3
selagi,-2
lagak,-2
cacing gila,-4
eek,-5
malesin,-4
anak bawang,-2
dinistain,-4
yahhh,-3
loloh,-3
sekongkol,-3
bokep,-5
jahat,-4
seksologis,-2
claim,-3
candu,-3
mumpung,-3
cemberut,-4
lepek,-4
jangann,-3
gilak,-4
gulir,-3
boros,-5
ganti,-3
air,-1
jujur,-1
akumah,-3
goodbye,-3
meski,-2
meski,-2
semena,-3
panas,-3
curcol,-3
rajam,-5
nyata,-2
keparat,-5
linggis,-4
hangus,-3
kepleset,-4
badmood,-4
die,-4
malak,-4
indikasi,-2
kesi,-4
denyut,-2
peleset,-4
selusur,-3
ihhhh,-3
bobroq,-4
tuyul,-4
remeh,-5
gantung,-3
taat,-1
intrik,-3
pdhal,-2
kerat,-1
raiso,-3
excited,-1
guling,-3
tewas,-3
balik,-3
gangsar,-3
kemas,-2
cari,-3
susut,-2
becek,-4
yaudh,-3
jaat,-3
luluh,-3
sohor,-1
rentan,-4
iyasih,-2
rusak binasa,-4
belah,-5
anjer,-3
alat vital,-2
gibah,-3
aurat,-2
rasain,-3
alat kelamin,-3
komplot,-4
alangkah,-2
pgen,-1
kutu busuk,-4
makelar,-3
manuver,-3
getir,-4
memek,-5
kalah,-4
tekan,-3
awas,-2
ngesot,-2
idam,-2
sudah,-3
samping,-4
gelecik,-4
larang,-3
mainstream,-3
iyak,-2
pahit,-3
cacing tambang,-2
seperti,-1
tolak,-2
bini gelap,-5
nyolong,-4
rebut,-3
ulah,-3
kompor,-4
yaahh,-3
jangan,-3
lieur,-3
kena,-3
hempas,-4
harap,-3
dahh,-3
karin,-2
gblk,-4
tembakau,-3
kerjain,-3
suspend,-3
mayat,-4
eksplisit,-2
buah simalakama,-3
biar,-3
salah langkah,-3
mumet,-4
debu,-3
itu,-2
lipur,-3
lap kaki,-2
pedes,-2
jera,-3
begak,-3
cela,-4
alone,-3
muntah,-4
celah,-3
menghisap,-1
segitunya,-3
dingin,-2
bidik,-2
stalking,-4
naudzubillah,-5
keling,-3
susuk,-4
kencing,-3
awan kelabu,-3
gemuruh,-3
fresh,-2
semata-mata,-2
ngeden,-2
sensi,-4
jambret,-5
mutu,-1
jauhin,-3
rupawan,-1
lucu,-2
jedot,-4
sukar,-4
umpat,-4
sangkut,-3
nyontek,-5
tegur,-3
rombak,-2
cemerlang,-1
siksa,-5
dibeliin,-1
sedihhh,-5
sedih,-5
bongkar,-3
ngarti,-3
cucut,-3
hutang,-5
gbs,-2
disalahin,-3
incess,-3
kabeh,-2
irit,-2
kabar angin,-3
angkot,-1
problem,-4
yampun,-3
surup,-5
komat-kamit,-3
manis,-2
teror,-5
pundung,-4
jadul,-3
sungkap,-3
lengket,-2
injek,-3
melarat,-4
tanah tandus,-3
dobrak,-4
sayat,-4
sedih,-5
retek,-3
coplok,-3
empas,-3
terror,-5
sanding,-2
takut,-4
jepit,-4
muskil,-2
aahh,-3
duka,-4
kurung,-4
mungut,-2
astagfirulloh,-4
peles,-1
muntah,-3
rapet,-2
kedaluwarsa,-3
kocak,-2
eror,-4
kenceng,-2
sehat,-1
melar,-2
death,-3
inkarnasi,-1
hidu,-1
geledek,-2
pacul,-4
besar,-2
tembok,-1
najisin,-4
jiji,-4
yaudahlah,-3
nusuk,-3
jigong,-4
dah,-3
uler,-3
lebay,-4
geli,-3
rasuk,-5
seteru,-4
emmm,-2
keladi,-3
lengket,-3
idk,-3
politik,-1
geledah,-3
ngelupain,-4
ngespam,-3
potong,-2
tenang,-1
panik,-4
ngilu,-4
tilam,-4
bencong,-5
pusink,-3
fitnah,-5
sesak,-3
harmonis,-1
bedah,-3
jatah,-1
lutut,-2
tunggang,-1
tusuk,-4
pecat,-5
kumat,-4
better,-1
ceria,-1
sodok,-3
sotau,-4
pitnah,-3
yelah,-3
diduain,-3
nyet,-4
pendek tali,-4
gemetar,-3
bau,-4
pojok,-3
ngomel,-4
numpuk,-3
hambar,-3
down,-3
mesiu,-1
neraka,-5
nganggur,-3
tertib,-2
blur,-4
langah,-3
mupeng,-2
biadab,-5
langau,-4
tekuk lutut,-3
guntur,-3
delay,-3
bangsat,-5
kereta,-4
mengap,-3
sendiri,-3
sahara,-2
cair,-1
belaka,-1
gigil,-4
masalah,-4
tumpuk,-4
sogok,-5
binasa,-5
celampak,-3
curi,-5
kecamuk,-4
cucok,-1
diancurin,-3
sapu,-3
kapok,-3
gabaik,-3
cocok,-3
cekak,-3
bogum,-3
majikan,-3
suka,-1
igau,-3
stres,-4
bual,-4
hempas,-4
dipamerin,-3
aniaya,-4
absurd,-2
yg tuan,-3
beling,-1
suci,-1
cubit,-3
bobol,-4
lebai,-3
pipis,-2
lirih,-3
rewel,-4
nestapa,-3
amit,-4
nyampah,-4
depresi,-4
dukacita,-3
hembus,-3
boker,-3
rokok,-3
banjir,-3
darah dingin,-4
manja,-3
rogoh,-3
rogok,-3
ditidurin,-4
copot,-3
rosak,-3
halang,-3
santet,-5
gejolak,-3
dilema,-3
apek,-4
gabutuh,-3
sembur,-3
kejam,-4
rontok,-3
serah,-4
sendu,-2
elegan,-1
jelma,-3
konsekuensi,-3
lapang hati,-1
pajak,-3
yodah,-2
gagal,-4
